optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,2,2,1.8146595337498184e-12,1.0,0.17862677574157715,10
L-BFGS-B,4,2,4.806710585114615e-13,1.0,0.34756970405578613,10
L-BFGS-B,8,2,3.6675842918221235e-11,1.0,1.0166261196136475,10
L-BFGS-B,16,2,3.2011893136285607e-13,1.0,4.059933662414551,10
L-BFGS-B,1,2,0.02829322907398074,0.98046875,0.20513153076171875,11
L-BFGS-B,2,2,1.984912234576086e-11,1.0,0.6267819404602051,11
L-BFGS-B,4,2,1.3747897820159949e-09,1.0,0.2740781307220459,11
L-BFGS-B,8,2,5.500160327187587e-10,1.0,1.023735761642456,11
L-BFGS-B,16,2,3.7299152655378975e-10,1.0,4.844495534896851,11
L-BFGS-B,1,2,4.614364446098307e-14,1.0,0.23115777969360352,12
L-BFGS-B,2,2,1.0413029882805347e-09,1.0,0.15810132026672363,12
L-BFGS-B,4,2,2.101134682908068e-09,1.0,0.27653002738952637,12
L-BFGS-B,8,2,6.748546166335245e-12,1.0,0.5042495727539062,12
L-BFGS-B,16,2,1.048604540698772e-08,1.0,2.337656021118164,12
L-BFGS-B,1,2,7.573414118056121e-12,1.0,0.19947385787963867,13
L-BFGS-B,2,2,1.0295180929986714e-08,1.0,0.14660906791687012,13
L-BFGS-B,4,2,3.0526771721550716e-08,1.0,0.23605680465698242,13
L-BFGS-B,8,2,2.0732027206094017e-13,1.0,0.8135776519775391,13
L-BFGS-B,16,2,2.2687701051182785e-08,1.0,2.3276336193084717,13
L-BFGS-B,1,2,3.285705041378151e-13,1.0,0.16144275665283203,14
L-BFGS-B,2,2,4.583139423530724e-13,1.0,0.19614601135253906,14
L-BFGS-B,4,2,4.779658932529962e-09,1.0,0.31661057472229004,14
L-BFGS-B,8,2,4.001550008014831e-09,1.0,0.7015035152435303,14
L-BFGS-B,16,2,3.0387636851259003e-12,1.0,3.4289662837982178,14
L-BFGS-B,1,2,9.804795864098992e-13,1.0,0.23216629028320312,15
L-BFGS-B,2,2,1.5669410213803303e-13,1.0,0.20615053176879883,15
L-BFGS-B,4,2,2.9235825982354413e-09,1.0,0.3087139129638672,15
L-BFGS-B,8,2,7.056855100273651e-14,1.0,0.9176433086395264,15
L-BFGS-B,16,2,3.408175033858818e-09,1.0,1.636157751083374,15
L-BFGS-B,1,2,4.803726860735935e-12,1.0,0.21015238761901855,16
L-BFGS-B,2,2,1.0692407792500802e-09,1.0,0.16161441802978516,16
L-BFGS-B,4,2,3.3861802251067274e-15,1.0,0.2917046546936035,16
L-BFGS-B,8,2,8.245560734199131e-09,1.0,0.4868290424346924,16
L-BFGS-B,16,2,5.70270219935054e-12,1.0,2.9887194633483887,16
L-BFGS-B,1,2,3.134159598516817e-13,1.0,0.2166438102722168,17
L-BFGS-B,2,2,8.860995270865146e-12,1.0,0.17461657524108887,17
L-BFGS-B,4,2,2.0942332590312418e-10,1.0,0.2962155342102051,17
L-BFGS-B,8,2,8.400641293704325e-13,1.0,1.1618876457214355,17
L-BFGS-B,16,2,2.1257911542171826e-09,1.0,2.154064178466797,17
L-BFGS-B,1,2,0.02829322901547425,0.98046875,0.20115017890930176,18
L-BFGS-B,2,2,1.2620460232426467e-12,1.0,0.7615845203399658,18
L-BFGS-B,4,2,5.8361948607199565e-09,1.0,0.41531991958618164,18
L-BFGS-B,8,2,3.168903472960949e-09,1.0,0.7545537948608398,18
L-BFGS-B,16,2,6.69550803689134e-11,1.0,2.9891154766082764,18
L-BFGS-B,1,2,0.028293229015218913,0.982421875,0.2166600227355957,19
L-BFGS-B,2,2,6.637185245850219e-11,1.0,0.6520073413848877,19
L-BFGS-B,4,2,5.785309453720799e-10,1.0,0.3908040523529053,19
L-BFGS-B,8,2,2.690818234896142e-09,1.0,0.615947961807251,19
L-BFGS-B,16,2,1.6351791032320762e-09,1.0,2.057461738586426,19
L-BFGS-B,1,2,0.05995685174294903,0.947265625,0.21765923500061035,20
L-BFGS-B,2,2,8.750500324339328e-13,1.0,1.080836296081543,20
L-BFGS-B,4,2,9.152247865129581e-08,1.0,0.3552520275115967,20
L-BFGS-B,8,2,1.8544879243354018e-09,1.0,1.2483975887298584,20
L-BFGS-B,16,2,1.9836322584509958e-09,1.0,1.5786209106445312,20
L-BFGS-B,1,2,0.059956851738497796,0.9384765625,0.15312480926513672,21
